timestamp,rssi,mean,std,max,min,prediction
2026-05-11 20:24:44,-38.0,-36.4,1.42828568570857,-34.0,-39.0,OBJECT
2026-05-11 20:24:44,-36.0,-36.4,1.42828568570857,-34.0,-39.0,OBJECT
2026-05-11 20:24:44,-36.0,-36.4,1.42828568570857,-34.0,-39.0,OBJECT
2026-05-11 20:24:44,-38.0,-36.4,1.42828568570857,-34.0,-39.0,OBJECT
2026-05-11 20:24:45,-35.0,-36.2,1.3266499161421599,-34.0,-38.0,OBJECT
2026-05-11 20:24:45,-35.0,-36.15,1.3518505834595775,-34.0,-38.0,OBJECT
2026-05-11 20:24:45,-35.0,-36.0,1.3038404810405297,-34.0,-38.0,OBJECT
2026-05-11 20:24:45,-33.0,-35.85,1.4585952145814822,-33.0,-38.0,OBJECT
2026-05-11 20:24:45,-35.0,-35.8,1.4696938456699067,-33.0,-38.0,OBJECT
2026-05-11 20:24:46,-38.0,-35.9,1.5459624833740306,-33.0,-38.0,OBJECT
2026-05-11 20:24:46,-38.0,-36.0,1.61245154965971,-33.0,-38.0,OBJECT
2026-05-11 20:24:46,-36.0,-35.9,1.5459624833740306,-33.0,-38.0,OBJECT
2026-05-11 20:24:46,-34.0,-35.9,1.5459624833740306,-33.0,-38.0,OBJECT
2026-05-11 20:24:46,-35.0,-35.95,1.4991664350564948,-33.0,-38.0,OBJECT
2026-05-11 20:24:47,-38.0,-36.1,1.5459624833740304,-33.0,-38.0,OBJECT
2026-05-11 20:24:47,-38.0,-36.15,1.5898113095584645,-33.0,-38.0,OBJECT
2026-05-11 20:24:47,-37.0,-36.15,1.5898113095584647,-33.0,-38.0,OBJECT
2026-05-11 20:24:47,-38.0,-36.25,1.6393596310755,-33.0,-38.0,OBJECT
2026-05-11 20:24:47,-38.0,-36.25,1.6393596310755,-33.0,-38.0,OBJECT
2026-05-11 20:24:48,-38.0,-36.45,1.5960889699512366,-33.0,-38.0,OBJECT
2026-05-11 20:24:48,-34.0,-36.25,1.6393596310755,-33.0,-38.0,OBJECT
2026-05-11 20:24:48,-37.0,-36.3,1.6462077633154326,-33.0,-38.0,OBJECT
2026-05-11 20:24:48,-35.0,-36.25,1.6695807857064,-33.0,-38.0,OBJECT
2026-05-11 20:24:48,-35.0,-36.1,1.6401219466856725,-33.0,-38.0,OBJECT
2026-05-11 20:24:49,-37.0,-36.2,1.630950643030009,-33.0,-38.0,OBJECT
2026-05-11 20:24:49,-33.0,-36.1,1.7578395831246945,-33.0,-38.0,OBJECT
2026-05-11 20:24:49,-34.0,-36.05,1.8020821290940099,-33.0,-38.0,OBJECT
2026-05-11 20:24:49,-35.0,-36.15,1.681517172080024,-33.0,-38.0,OBJECT
2026-05-11 20:24:49,-38.0,-36.3,1.7058722109231979,-33.0,-38.0,OBJECT
2026-05-11 20:24:50,-36.0,-36.2,1.6613247725836147,-33.0,-38.0,OBJECT
2026-05-11 20:24:50,-35.0,-36.05,1.6271140095272978,-33.0,-38.0,OBJECT
2026-05-11 20:24:50,-34.0,-35.95,1.6874537030686203,-33.0,-38.0,OBJECT
2026-05-11 20:24:50,-34.0,-35.95,1.6874537030686203,-33.0,-38.0,OBJECT
2026-05-11 20:24:50,-34.0,-35.9,1.7291616465790582,-33.0,-38.0,OBJECT
2026-05-11 20:24:51,-36.0,-35.8,1.6613247725836147,-33.0,-38.0,OBJECT
2026-05-11 20:24:51,-35.0,-35.65,1.5898113095584647,-33.0,-38.0,OBJECT
2026-05-11 20:24:51,-38.0,-35.7,1.6462077633154326,-33.0,-38.0,OBJECT
2026-05-11 20:24:51,-34.0,-35.5,1.5968719422671311,-33.0,-38.0,OBJECT
2026-05-11 20:24:51,-34.0,-35.3,1.5198684153570663,-33.0,-38.0,OBJECT
2026-05-11 20:24:52,-34.0,-35.1,1.4106735979665883,-33.0,-38.0,OBJECT
2026-05-11 20:24:52,-35.0,-35.15,1.3883443376914821,-33.0,-38.0,OBJECT
2026-05-11 20:24:52,-39.0,-35.25,1.5771810295587503,-33.0,-39.0,OBJECT
2026-05-11 20:24:52,-37.0,-35.35,1.620956507744733,-33.0,-39.0,OBJECT
2026-05-11 20:24:52,-40.0,-35.6,1.9078784028338913,-33.0,-40.0,OBJECT
2026-05-11 20:24:53,-40.0,-35.75,2.118372016431486,-33.0,-40.0,HUMAN
2026-05-11 20:24:53,-38.0,-36.0,2.073644135332772,-34.0,-40.0,HUMAN
2026-05-11 20:24:53,-35.0,-36.05,2.0365411854416298,-34.0,-40.0,HUMAN
2026-05-11 20:24:53,-36.0,-36.1,2.022374841615669,-34.0,-40.0,HUMAN
2026-05-11 20:24:53,-39.0,-36.15,2.0802644062714717,-34.0,-40.0,HUMAN
2026-05-11 20:24:54,-35.0,-36.1,2.0952326839756963,-34.0,-40.0,HUMAN
2026-05-11 20:24:54,-40.0,-36.35,2.2422087324778666,-34.0,-40.0,HUMAN
2026-05-11 20:24:54,-40.0,-36.65,2.3081377775167584,-34.0,-40.0,HUMAN
2026-05-11 20:24:54,-35.0,-36.7,2.2605309110914633,-34.0,-40.0,HUMAN
2026-05-11 20:24:54,-35.0,-36.75,2.2107690969434146,-34.0,-40.0,HUMAN
2026-05-11 20:24:55,-36.0,-36.75,2.2107690969434146,-34.0,-40.0,HUMAN
2026-05-11 20:24:55,-35.0,-36.75,2.2107690969434146,-34.0,-40.0,HUMAN
2026-05-11 20:24:55,-34.0,-36.55,2.2688102609076854,-34.0,-40.0,HUMAN
2026-05-11 20:26:24,-37.0,-37.9,1.7,-36.0,-41.0,OBJECT
2026-05-11 20:26:24,-38.0,-38.0,1.6431676725154984,-36.0,-41.0,OBJECT
2026-05-11 20:26:25,-38.0,-38.1,1.57797338380595,-36.0,-41.0,OBJECT
